Id,ValorVencido,Sexo,EstadoCivil,DataNascimento,ValorPago
13328,"627,16",M,CASADO,1988-04-25 00:00:00,50
13329,"164,16",M,CASADO,1984-12-28 00:00:00,50
13330,"126,66",F,CASADO,1985-11-24 00:00:00,"126,66"
13331,"208,81",F,Outros,1969-01-09 00:00:00,"208,81"
13332,"154,59",M,CASADO,1991-08-03 00:00:00,"154,59"
13333,"578,8",F,SOLTEIRO,1977-12-08 00:00:00,"578,8"
13334,"126,98",M,CASADO,1966-02-13 00:00:00,"126,98"
13335,"74,3",F,SOLTEIRO,1977-11-25 00:00:00,"74,3"
13336,"75,5",F,SOLTEIRO,1965-06-16 00:00:00,"75,5"
13337,"219,63",M,CASADO,1984-02-14 00:00:00,"219,63"
13338,"130,92",M,CASADO,1991-05-11 00:00:00,"130,92"
13339,"241,41",M,SOLTEIRO,1985-06-17 00:00:00,"241,41"
13340,"382,5",M,CASADO,1986-10-22 00:00:00,"382,5"
13341,"440,69",M,CASADO,1994-08-10 00:00:00,"440,69"
13342,"117,78",F,CASADO,1973-01-16 00:00:00,"117,78"
13343,"88,48",M,CASADO,1987-12-25 00:00:00,"88,48"
13344,"76,03",F,Outros,1991-07-18 00:00:00,"76,03"
13345,"120,42",M,SOLTEIRO,1973-08-26 00:00:00,"120,42"
13346,"230,33",F,CASADO,1988-07-14 00:00:00,"230,33"
13347,"82,79",F,CASADO,1959-09-25 00:00:00,"82,79"
13348,"320,12",F,SOLTEIRO,1979-12-09 00:00:00,65
13349,"450,51",F,Outros,1991-08-11 00:00:00,"450,51"
13350,"169,1",M,CASADO,1987-09-25 00:00:00,"169,1"
13351,"104,68",M,CASADO,1993-08-30 00:00:00,"104,68"
13352,"204,74",F,CASADO,1993-10-31 00:00:00,"204,74"
13353,"86,68",F,CASADO,1994-03-26 00:00:00,"86,68"
13354,"191,71",M,Outros,1995-04-26 00:00:00,"191,71"
13355,"131,57",F,CASADO,1995-04-01 00:00:00,"131,57"
13356,"214,97",M,CASADO,1997-06-03 00:00:00,"214,97"
13357,"291,8",M,CASADO,1984-08-14 00:00:00,"291,8"
13358,"303,87",F,CASADO,1987-09-28 00:00:00,"303,87"
13359,"724,63",M,Outros,1976-07-11 00:00:00,350
13360,"644,08",M,CASADO,1980-03-09 00:00:00,"644,08"
13361,"246,72",F,CASADO,1974-01-06 00:00:00,"246,72"
13362,"305,66",F,CASADO,1980-08-30 00:00:00,"305,66"
13363,"307,9",F,SOLTEIRO,1981-05-09 00:00:00,"307,9"
13364,"1.830,79",F,CASADO,1980-07-09 00:00:00,"1.830,79"
13365,"265,52",F,CASADO,1982-05-02 00:00:00,"265,52"
13366,"608,82",M,CASADO,1984-02-23 00:00:00,"608,82"
13367,"1.765,58",F,Outros,1950-02-28 00:00:00,200
13368,"1.357,5",M,SOLTEIRO,1964-05-26 00:00:00,"1.357,5"
13369,"1.990,76",M,CASADO,1979-05-21 00:00:00,"1.990,76"
13370,"317,34",F,SOLTEIRO,1984-08-24 00:00:00,200
13371,"525,36",F,Outros,1967-04-13 00:00:00,"525,36"
13372,"789,32",F,CASADO,1994-02-11 00:00:00,295
13373,"725,72",M,CASADO,1983-02-14 00:00:00,"725,72"
13374,"247,15",M,CASADO,1990-12-14 00:00:00,"247,15"
13375,"714,48",F,SOLTEIRO,1975-11-27 00:00:00,"714,48"
13376,"499,91",M,CASADO,1979-06-22 00:00:00,"499,91"
13377,"370,67",F,CASADO,1995-11-24 00:00:00,"370,67"
13378,"492,96",M,CASADO,1995-05-09 00:00:00,"20,54"
13379,"653,96",F,CASADO,1997-04-14 00:00:00,"653,96"
13380,"840,92",F,CASADO,1988-11-03 00:00:00,"152,8"
